Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
pdtms0,3726,78056,1963,26417,137,2551
rkcbl1,12039,321638,8092,162327,309,9198
dmebr2,6667,131424,2576,54409,142,3867
ahyed3,3562,74330,1905,24454,120,2414
fgdcz4,1580,17305,388,2854,38,560
ibeay5,8789,190649,4928,91862,222,5406
ntjvf6,1292,21373,394,4370,36,682
bhiwu7,34820,1040462,17476,654079,676,26287
hdvmd8,57486,1697068,36554,1095538,764,36566
guhta9,854,8453,186,972,41,290
fljth10,19610,549200,11631,321778,384,16488
vfilo11,3175,62865,1414,19301,115,2101
aitgz12,4794,90649,4012,34257,120,2872
ktcxa13,48443,1288128,33326,817485,755,30657
toatg14,0,3,0,0,0,0
bmzsn15,0,3,0,1,0,0
jezrd16,0,3,0,0,0,0
cunzp17,22500,720349,15315,440210,473,20176
xejer18,18205,491193,13983,285672,401,15309
snnxc19,28178,907650,17683,572113,541,23730
djxww20,52672,1804857,40355,1187261,760,38180
mpctg21,18339,567539,13497,335275,417,16905
oqpia22,1607,27890,585,6523,56,881
klnhg23,18255,509448,10246,295918,381,15690
nvpjg24,0,3,0,3,0,0
vlshb25,8364,181860,4303,86934,205,5184
jcsof26,1,6,0,3,0,0
wesos27,46484,1482504,34354,952990,642,33469
bmajq28,3339,59690,1111,17887,97,1986
citkq29,922,14354,273,2040,38,487
yybaf30,58,256,3,23,0,4
ycpdo31,18205,491193,13983,285672,401,15309
fltyg32,1835,26283,442,5938,44,825
ugtgc33,5049,95698,2538,36795,152,3024
gffnj34,0,3,0,0,0,0
ewnvr35,5907,150858,3585,64291,173,4346
dntiz36,6414,144951,3012,60706,150,4173
vnfwq37,5907,150858,3585,64291,173,4346
zoxfb38,46484,1482504,34354,952990,642,33469
fgmkw39,10882,257485,5191,123848,261,7206
oihnf40,573,5350,75,469,27,161
pkdks41,1292,21373,394,4370,36,682
zzdos42,11156,287158,6275,140928,358,8107
ferfy43,1,1,0,0,0,0
dfier44,9847,226723,4390,108454,274,6362
xybsb45,9472,236195,4770,113224,286,6648
orhvl46,0,3,0,3,0,0
oqubr47,0,3,0,3,0,0
mwowa48,120,1139,17,102,3,27
ctxzo49,565,5915,96,565,20,181
